	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
821	KY581684	KY581684.1	KY581684	2013-07-10	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
822	KY581685	KY581685.1	KY581685	2013-07-12	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
823	KY581686	KY581686.1	KY581686	2014-04-10	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
824	KY581687	KY581687.1	KY581687	2013-12-23	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
827	KY581690	KY581690.1	KY581690	2014-04-12	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
828	KY581691	KY581691.1	KY581691	2014-04-14	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
830	KY581693	KY581693.1	KY581693	2014-04-20	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
831	KY581694	KY581694.1	KY581694	2014-XX-XX	Asia	United Arab Emirates			30123	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
832	KY581695	KY581695.1	KY581695	2014-06-01	Asia	United Arab Emirates			30123	Camelus	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
833	KY581696	KY581696.1	KY581696	2014-03-12	Asia	United Arab Emirates			30123	Camelus	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
834	KY581697	KY581697.1	KY581697	2014-02-18	Asia	United Arab Emirates			30123	Camelus	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
835	KY581698	KY581698.1	KY581698	2014-06-01	Asia	United Arab Emirates			30123	Camelus	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
836	KY581699	KY581699.1	KY581699	2014-06-01	Asia	United Arab Emirates			30123	Camelus	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
837	KY581700	KY581700.1	KY581700	2014-02-18	Asia	United Arab Emirates			30123	Camelus	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
841	KY673146	KY673146.1	KY673146	2013-07-12	Asia	United Arab Emirates			4062	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
842	KY673147	KY673147.1	KY673147	2014-04-25	Asia	United Arab Emirates			4062	Homo sapiens	2017-12-20	2017-12-20		Paden,C.R.,Yusof,M.F.B.M.,Al Hammadi,Z.M.,Queen,K.,Tao,Y.,Eltahir,Y.M.,Elsayed,E.A.,Marzoug,B.A.,Bensalah,O.K.A.,Khalafalla,A.I.,Al Mulla,M.,Elkheir,K.A.,Issa,Z.B.,Pradeep,K.,Elsaleh,F.N.,Imambaccus,H.,Sasse,J.,Weber,S.,Shi,M.,Zhang,J.,Li,Y.,Pham,H.,Kim,L.,Hall,A.J.,Gerber,S.I.,Al Hosani,F.I.,Tong,S.,Al Muhairi,S.S.M.,Al Muhairi,S.S.,Al Hammadi,Z.,Abou Elkheir,K.,Al Bandar,Z.,El Saleh,F.,Hall,A.,Gerber,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
843	KY673148	KY673148.1	KY673148	2015-01-06	Asia	Oman			30123	Homo sapiens	2017-12-31	2017-12-31		Queen,K.,Al-Jardani,A.,Zhang,J.,Al Kindi,H.,Li,Y.,Tao,Y.,Al Baqlani,S.,Al Mahrouqi,S.,Tong,S.	Queen et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
844	KY673149	KY673149.1	KY673149	2015-01-XX	Asia	Oman			30123	Camelus	2017-12-31	2017-12-31		Queen,K.,Al-Jardani,A.,Zhang,J.,Al Kindi,H.,Li,Y.,Tao,Y.,Al Baqlani,S.,Al Mahrouqi,S.,Tong,S.	Queen et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
845	KY688114	KY688114.1	KY688114	2015-01-16	Asia	Oman			4062	Homo sapiens	2017-12-31	2017-12-31		Queen,K.,Al-Jardani,A.,Zhang,J.,Al Kindi,H.,Li,Y.,Tao,Y.,Al Baqlani,S.,Al Mahrouqi,S.,Tong,S.	Queen et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
856	KY689142	KY689142.1	KY689142	2016-01-XX	Asia	Saudi Arabia			29837	Homo sapiens	2017-04-02	2017-04-02		Al Balwi,M.A.,UdayaRaja G,K.	Al Balwi et al	King Abdullah International Medical Research Center, Biotechnology	Human
857	KY706245	KY706245.1	Camel/Saudi Arabia/KFU-HKU_F2-3/2014	2014-11-29	Asia	Saudi Arabia			7672	Camelus dromedarius	2018-05-31	2018-05-31		Hemida,M.G.,Alnaeem,A.,Chu,D.K.,Perera,R.A.,Chan,S.M.,Almathen,F.,Yau,E.,Ng,B.C.,Webby,R.J.,Poon,L.L.,Peiris,M.,Chu,D.K.W.,Perera,R.A.P.M.,Chan,S.M.S.,Ng,B.C.Y.,Poon,L.L.M.	Hemida et al	The University of Hong Kong, School of Public Health	Camel
858	KY706246	KY706246.1	Camel/Saudi Arabia/KFU-HKU_F2-33/2014	2014-11-29	Asia	Saudi Arabia			7672	Camelus dromedarius	2018-05-31	2018-05-31		Hemida,M.G.,Alnaeem,A.,Chu,D.K.,Perera,R.A.,Chan,S.M.,Almathen,F.,Yau,E.,Ng,B.C.,Webby,R.J.,Poon,L.L.,Peiris,M.,Chu,D.K.W.,Perera,R.A.P.M.,Chan,S.M.S.,Ng,B.C.Y.,Poon,L.L.M.	Hemida et al	The University of Hong Kong, School of Public Health	Camel
859	KY706247	KY706247.1	Camel/Saudi Arabia/KFU-HKU_F2-51/2014	2014-11-29	Asia	Saudi Arabia			7672	Camelus dromedarius	2018-05-31	2018-05-31		Hemida,M.G.,Alnaeem,A.,Chu,D.K.,Perera,R.A.,Chan,S.M.,Almathen,F.,Yau,E.,Ng,B.C.,Webby,R.J.,Poon,L.L.,Peiris,M.,Chu,D.K.W.,Perera,R.A.P.M.,Chan,S.M.S.,Ng,B.C.Y.,Poon,L.L.M.	Hemida et al	The University of Hong Kong, School of Public Health	Camel
865	LP963762	LP963762.1	LP963762						30119		2018-04-29	2018-04-29		JOHNSON,R.F.P.D.,SCHNELL,M.,HENSLEY,L.E.,WIRBLICH,C.,COLEMAN,C.M.,FRIEMAN,M.B.	JOHNSON et al		Bat
866	LP963763	LP963763.1	LP963763						4062		2018-04-29	2018-04-29		JOHNSON,R.F.P.D.,SCHNELL,M.,HENSLEY,L.E.,WIRBLICH,C.,COLEMAN,C.M.,FRIEMAN,M.B.	JOHNSON et al		Bat
867	LP963770	LP963770.1	LP963770						4062		2018-04-29	2018-04-29		JOHNSON,R.F.P.D.,SCHNELL,M.,HENSLEY,L.E.,WIRBLICH,C.,COLEMAN,C.M.,FRIEMAN,M.B.	JOHNSON et al		Bat
869	LQ466302	LQ466302.1	LQ466302						4062		2016-10-06	2016-10-06		SUTTER,G.,SONG,F.,FUX,R.,VOLZ,A.,BECKER,S.,EICKMANN,M.	SUTTER et al		Bat
870	LQ525620	LQ525620.1	LQ525620						4062		2016-10-06	2016-10-06		GRAHAM,B.,KONG,W.,MODJARRAD,K.,WANG,L.,SHI,W.,JOYCE,M.G.,KANEKIYO,M.,MASCOLA,J.	GRAHAM et al		Bat
873	LQ525626	LQ525626.1	LQ525626						3870		2016-10-06	2016-10-06		GRAHAM,B.,KONG,W.,MODJARRAD,K.,WANG,L.,SHI,W.,JOYCE,M.G.,KANEKIYO,M.,MASCOLA,J.	GRAHAM et al		Bat
875	LQ575390	LQ575390.1	LQ575390						4062		2016-10-06	2016-10-06		SUTTER,G.,FUX,R.,VOLZ,A.,SONG,F.,BECKER,S.,EICKMANN,M.	SUTTER et al		Bat
877	LY539374	LY539374.1	LY539374						4062		2018-09-26	2018-09-26		Graham,B.,Kong,W.,Modjarrad,K.,Wang,L.,Shi,W.,Joyce,M.G.,Kanekiyo,M.,Mascola,J.	Graham et al		Bat
880	LY539377	LY539377.1	LY539377						3870		2018-09-26	2018-09-26		Graham,B.,Kong,W.,Modjarrad,K.,Wang,L.,Shi,W.,Joyce,M.G.,Kanekiyo,M.,Mascola,J.	Graham et al		Bat
881	MF000457	MF000457.1	Hu/Amman-Jordan-12641/2015	2015-08-25	Asia	Jordan			30001	Homo sapiens	2018-10-15	2018-10-15		Paden,C.R.,Tamin,A.,AL-Abdallat,M.M.,Haddadin,A.,Al-sanouri,T.,Queen,K.,Li,Y.,Zhang,J.,Payne,D.C.,Tong,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
882	MF000458	MF000458.1	Hu/Amman-Jordan-13030/2015	2015-09-19	Asia	Jordan			30045	Homo sapiens	2018-10-15	2018-10-15		Paden,C.R.,Tamin,A.,AL-Abdallat,M.M.,Haddadin,A.,Al-sanouri,T.,Queen,K.,Li,Y.,Zhang,J.,Payne,D.C.,Tong,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
884	MF000460	MF000460.1	Hu/Amman-Jordan-12716/2015	2015-08-30	Asia	Jordan			30045	Homo sapiens	2018-10-15	2018-10-15		Paden,C.R.,Tamin,A.,AL-Abdallat,M.M.,Haddadin,A.,Al-sanouri,T.,Queen,K.,Li,Y.,Zhang,J.,Payne,D.C.,Tong,S.	Paden et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
904	MF598594	MF598594.1	MF598594	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
905	MF598595	MF598595.1	MF598595	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
906	MF598596	MF598596.1	MF598596	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
907	MF598597	MF598597.1	MF598597	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
908	MF598598	MF598598.1	MF598598	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
909	MF598599	MF598599.1	MF598599	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
910	MF598600	MF598600.1	MF598600	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
911	MF598601	MF598601.1	MF598601	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
912	MF598602	MF598602.1	MF598602	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
913	MF598603	MF598603.1	MF598603	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
